alpha = 4, [a_4 b_4] = [0.3 0.9] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, 0.37793, 7.84183e-05, 0.8999, 10,  ,  ,   
Метод хорд, 0.377743, 2.32569e-06, 0.8999, 75, 10.4401, 0.0888146, 
Простая итерация, 0.37774, 8.57895e-07, 0.8999, 276,  ,  , 0.991448 
Метод Эткена, 0.377738, 1.21778e-07, 0.8999, 103,  ,  , 0.991498 
Метод Ньютона, 0.377738, 5.55112e-17, 0.8999, 8, 10.4401, 0.0888146,  


alpha = 5, [a_5 b_5] = [0.3 0.9] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, 0.563232, 3.4455e-05, 0.8999, 12,  ,  ,   
Метод хорд, 0.563204, 1.15407e-06, 0.8999, 38, 10.294, 0.048556, 
Простая итерация, 0.563203, 4.22432e-07, 0.8999, 106,  ,  , 0.995238 
Метод Эткена, 0.563203, 5.61975e-08, 0.8999, 42,  ,  , 0.995288 
Метод Ньютона, 0.563203, 1.11022e-16, 0.8999, 7, 10.294, 0.048556,  


alpha = 6, [a_6 b_6] = [0.3 0.9] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, 0.667383, 8.84827e-06, 0.8999, 10,  ,  ,   
Метод хорд, 0.667381, 5.31612e-06, 0.8999, 21, 10.1479, 0.185827, 
Простая итерация, 0.667379, 1.20318e-06, 0.8999, 51,  ,  , 0.981644 
Метод Эткена, 0.667379, 1.31777e-07, 0.8999, 22,  ,  , 0.981694 
Метод Ньютона, 0.667379, 6.66134e-16, 0.8999, 6, 10.1479, 0.185827,  


alpha = 7, [a_7 b_7] = [0.3 0.9] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, 0.736304, -8.30299e-05, 0.8999, 13,  ,  ,   
Метод хорд, 0.736332, 8.62714e-06, 0.8999, 14, 10.0019, 0.323097, 
Простая итерация, 0.73633, 1.71326e-06, 0.8999, 30,  ,  , 0.967652 
Метод Эткена, 0.736329, 1.4194e-07, 0.8999, 14,  ,  , 0.967702 
Метод Ньютона, 0.736329, 1.49729e-11, 0.8999, 5, 10.0019, 0.323097,  


alpha = 8, [a_8 b_8] = [0.3 0.9] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, 0.786731, -4.66724e-05, 0.8999, 14,  ,  ,   
Метод хорд, 0.786744, 1.06132e-05, 0.8999, 10, 9.85579, 0.460368, 
Простая итерация, 0.786742, 2.2983e-06, 0.8999, 19,  ,  , 0.953246 
Метод Эткена, 0.786741, 1.39342e-07, 0.8999, 9,  ,  , 0.953296 
Метод Ньютона, 0.786741, 1.33227e-15, 0.8999, 5, 9.85579, 0.460368,  


alpha = 9, [a_9 b_9] = [0.3 0.9] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, 0.826099, -1.77401e-05, 0.8999, 13,  ,  ,   
Метод хорд, 0.826102, 4.15134e-06, 0.8999, 8, 9.70972, 0.597638, 
Простая итерация, 0.826102, 1.61708e-06, 0.8999, 13,  ,  , 0.938406 
Метод Эткена, 0.826102, 2.133e-08, 0.8999, 7,  ,  , 0.938456 
Метод Ньютона, 0.826102, 1.81638e-10, 0.8999, 4, 9.70972, 0.597638,  


alpha = 10, [a_10 b_10] = [0.3 0.9] 
, x, f(x), x_0, N, M, m, q 
Половинное деление, 0.858252, 3.50271e-05, 0.8999, 12,  ,  ,   
Метод хорд, 0.858247, 2.26236e-06, 0.8999, 6, 9.56364, 0.734909, 
Простая итерация, 0.858247, 6.95289e-07, 0.8999, 9,  ,  , 0.923113 
Метод Эткена, 0.858247, 8.54749e-09, 0.8999, 5,  ,  , 0.923163 
Метод Ньютона, 0.858247, 5.01821e-14, 0.8999, 4, 9.56364, 0.734909,  


